movie_ID,title,rating,genres,poster_path
287,Suicide Squad,5.913,Action|Adventure|Fantasy,Suicide Squad.jpg
288,Gold,6.6,Adventure|Drama|Thriller,Gold.jpg
289,Gemini Man,6.297,Sci-Fi|Action|Thriller,Gemini Man.jpg
290,Thelma,6.836,Drama|Mystery|Thriller,Thelma.jpg
291,Bad Boys II,6.6,Action|Crime|Comedy,Bad Boys II.jpg
292,Vamp,5.871,Comedy|Horror,Vamp.jpg
293,Red Sparrow,6.533,Thriller|Mystery,Red Sparrow.jpg
294,The Ministry of Ungentlemanly Warfare,7.167,Action|War|Drama,The Ministry of Ungentlemanly Warfare.jpg
295,Platoon,7.746,Drama|War|Action,Platoon.jpg
296,The Witch Game,1.5,Horror,The Witch Game.jpg
297,Back to Black,6.726,History|Drama|Musical,Back to Black.jpg
298,The 'Burbs,6.746,Comedy|Horror|Thriller,The 'Burbs.jpg
299,Gilda,7.5,Romance|Drama|Thriller,Gilda.jpg
300,Outsource,4.25,Action|Comedy,Outsource.jpg
301,Dumb and Dumber,6.626,Comedy,Dumb and Dumber.jpg
302,Blue Velvet,7.626,Crime|Drama|Mystery|Thriller,Blue Velvet.jpg
303,Outsource,4.158,Action|Comedy,Outsource.jpg
304,Highlander,6.896,Adventure|Action|Fantasy,Highlander.jpg
305,Contagion,6.6,Drama|Thriller|Sci-Fi,Contagion.jpg
306,Thelma,6.836,Drama|Mystery|Thriller,Thelma.jpg
307,Bad Boys II,6.6,Action|Crime|Comedy,Bad Boys II.jpg
308,Red Sparrow,6.533,Thriller|Mystery,Red Sparrow.jpg
309,Float,6.909,Romance|Drama,Float.jpg
310,Platoon,7.746,Drama|War|Action,Platoon.jpg
311,The 'Burbs,6.746,Comedy|Horror|Thriller,The 'Burbs.jpg
312,Chabuca,5.0,Drama|Romance,Chabuca.jpg
313,Gilda,7.5,Romance|Drama|Thriller,Gilda.jpg
314,Django Unchained,8.18,Drama|Western,Django Unchained.jpg
315,Hocus Pocus 2,7.3,Fantasy|Comedy|Children,Hocus Pocus 2.jpg
316,Cinderella,6.373,Fantasy|Romance|Comedy,Cinderella.jpg
317,The Prestige,8.203,Drama|Mystery|Sci-Fi,The Prestige.jpg
318,The Island,6.674,Action|Thriller|Sci-Fi|Adventure,The Island.jpg
319,The King's Man,6.768,Action|Comedy|Adventure|Thriller,The King's Man.jpg
320,Coco,8.213,Children|Animation|Musical|Adventure,Coco.jpg
321,Iron Man,7.6,Action|Sci-Fi|Adventure,Iron Man.jpg
322,Batman Begins,7.706,Action|Crime|Drama,Batman Begins.jpg
323,The Lost Boys,7.073,Horror|Comedy|Thriller,The Lost Boys.jpg
324,Quantum of Solace,6.327,Adventure|Action|Thriller|Crime,Quantum of Solace.jpg
325,Logan's Run,6.584,Action|Sci-Fi,Logan's Run.jpg
326,The Night They Came Home,6.091,Western|Thriller|Action,The Night They Came Home.jpg
327,Woody Woodpecker Goes to Camp,6.8,Children|Comedy|Animation,Woody Woodpecker Goes to Camp.jpg
328,Die Hart,5.9,Comedy|Action|Thriller,Die Hart.jpg
329,Allegiant,6.104,Adventure|Sci-Fi|Action|Mystery,Allegiant.jpg
330,Dune,6.202,Action|Sci-Fi|Adventure,Dune.jpg
331,The Platform,6.979,Drama|Sci-Fi|Thriller,The Platform.jpg
332,Jigsaw,6.227,Horror|Mystery|Thriller,Jigsaw.jpg
333,Love Lies Bleeding,6.6,Crime|Romance|Thriller,Love Lies Bleeding.jpg
334,The Departed,8.168,Drama|Thriller|Crime,The Departed.jpg
335,Forrest Gump,8.476,Comedy|Drama|Romance,Forrest Gump.jpg
336,Up,7.958,Animation|Comedy|Children|Adventure,Up.jpg
337,U.S. Marshals,6.502,Thriller|Crime|Action,U.S. Marshals.jpg
338,Buffaloed,6.729,Comedy|Drama,Buffaloed.jpg
339,Daredevil,5.261,Fantasy|Action,Daredevil.jpg
340,Casablanca,8.16,Drama|Romance,Casablanca.jpg
341,The Guest,6.655,Mystery|Thriller|Action,The Guest.jpg
342,Perra vida,7.111,Comedy|Romance,Perra vida.jpg
343,Meg 2: The Trench,6.561,Action|Sci-Fi|Horror,Meg 2_ The Trench.jpg
344,The Road,7.002,Adventure|Drama,The Road.jpg
345,Bohemian Rhapsody,7.987,Musical|Drama,Bohemian Rhapsody.jpg
346,The Tearsmith,6.546,Romance|Drama,The Tearsmith.jpg
347,The King's Man,6.768,Action|Comedy|Adventure|Thriller,The King's Man.jpg
348,Napoleon,6.445,History|War|Romance,Napoleon.jpg
349,Colors of Evil: Red,6.648,Mystery|Thriller|Crime|Drama,Colors of Evil_ Red.jpg
350,Harry Potter and the Philosopher's Stone,7.913,Adventure|Fantasy,Harry Potter and the Philosopher's Stone.jpg
351,Oh. God!,6.4,Fantasy|Comedy,Oh_ God!.jpg
352,Sayen: The Huntress,5.679,Action|Thriller,Sayen_ The Huntress.jpg
353,The Family Plan,7.301,Action|Comedy,The Family Plan.jpg
354,Return of Special Forces 5,5.0,Action,Return of Special Forces 5.jpg
355,Kali: Avenging Angel,6.679,Action|Thriller|Adventure,Kali_ Avenging Angel.jpg
356,Hocus Pocus 2,7.3,Fantasy|Comedy|Children,Hocus Pocus 2.jpg
357,The Mist,6.924,Horror|Sci-Fi|Thriller,The Mist.jpg
358,Fighter,5.594,Action|Thriller|War,Fighter.jpg
359,The Avengers,7.714,Sci-Fi|Action|Adventure,The Avengers.jpg
360,Psycho,8.434,Horror|Thriller|Mystery,Psycho.jpg
361,Vikings: Battle of Heirs,6.065,Action,Vikings_ Battle of Heirs.jpg
362,SuperFly,6.771,Action|Crime,SuperFly.jpg
363,Cinderella,6.373,Fantasy|Romance|Comedy,Cinderella.jpg
364,Ready or Not,7.059,Comedy|Horror|Thriller,Ready or Not.jpg
365,Baby Shark's Big Movie,6.9,Animation|Children|Adventure|Comedy,Baby Shark's Big Movie.jpg
